id,record_id,meta_key,meta_value
1,1,title,小姐
2,1,birth,2017
3,1,contact_date,
4,1,contact_time,
5,1,data,
6,1,filepath,noimg
7,1,agreement,1
8,1,payment_method,
9,1,payment_callback,redirect
10,1,redeem_status,0
11,1,actual_redeem_shop,
12,1,redeem_date_time,
13,1,redeem_date_time,"2024-07-31 19:15:33"
14,1,actual_redeem_shop,"Aerial Arts Academy"
15,1,redeem_status,1
16,2,title,小姐
17,2,birth,1982
18,2,contact_date,
19,2,contact_time,
20,2,data,
21,2,filepath,noimg
22,2,agreement,1
23,2,payment_method,
24,2,payment_callback,redirect
25,2,redeem_status,0
26,2,actual_redeem_shop,
27,2,redeem_date_time,
28,2,redeem_date_time,"2024-08-01 09:09:36"
29,2,actual_redeem_shop,"Aerial Arts Academy"
30,2,redeem_status,1
31,3,title,小姐
32,3,birth,1994
33,3,contact_date,
34,3,contact_time,
35,3,data,
36,3,filepath,noimg
37,3,agreement,1
38,3,payment_method,
39,3,payment_callback,redirect
40,3,redeem_status,0
41,3,actual_redeem_shop,
42,3,redeem_date_time,
43,4,title,小姐
44,4,birth,1991
45,4,contact_date,
46,4,contact_time,
47,4,data,
48,4,filepath,noimg
49,4,agreement,1
50,4,payment_method,
51,4,payment_callback,redirect
52,4,redeem_status,0
53,4,actual_redeem_shop,
54,4,redeem_date_time,
55,5,title,小姐
56,5,birth,1993
57,5,contact_date,
58,5,contact_time,
59,5,data,
60,5,filepath,noimg
61,5,agreement,1
62,5,payment_method,
63,5,payment_callback,redirect
64,5,redeem_status,0
65,5,actual_redeem_shop,
66,5,redeem_date_time,
67,6,title,小姐
68,6,birth,1995
69,6,contact_date,
70,6,contact_time,
71,6,data,
72,6,filepath,noimg
73,6,agreement,1
74,6,payment_method,
75,6,payment_callback,redirect
76,6,redeem_status,0
77,6,actual_redeem_shop,
78,6,redeem_date_time,
79,5,redeem_date_time,"2024-08-01 15:34:59"
80,5,actual_redeem_shop,"WOW FITNESS"
81,5,redeem_status,1
82,7,title,先生
83,7,birth,1992
84,7,contact_date,
85,7,contact_time,
86,7,data,
87,7,filepath,noimg
88,7,agreement,1
89,7,payment_method,
90,7,payment_callback,redirect
91,7,redeem_status,0
92,7,actual_redeem_shop,
93,7,redeem_date_time,
94,6,redeem_date_time,"2024-08-01 15:35:15"
95,6,actual_redeem_shop,"WOW FITNESS"
96,6,redeem_status,1
97,8,title,小姐
98,8,birth,1991
99,8,contact_date,
100,8,contact_time,
101,8,data,
102,8,filepath,noimg
103,8,agreement,1
104,8,payment_method,
105,8,payment_callback,redirect
106,8,redeem_status,0
107,8,actual_redeem_shop,
108,8,redeem_date_time,
109,9,title,小姐
110,9,birth,1994
111,9,contact_date,
112,9,contact_time,
113,9,data,
114,9,filepath,noimg
115,9,agreement,1
116,9,payment_method,
117,9,payment_callback,redirect
118,9,redeem_status,0
119,9,actual_redeem_shop,
120,9,redeem_date_time,
121,9,redeem_date_time,"2024-08-01 15:40:49"
122,9,actual_redeem_shop,"WOW FITNESS"
123,9,redeem_status,1
124,10,title,小姐
125,10,birth,1998
126,10,contact_date,
127,10,contact_time,
128,10,data,
129,10,filepath,noimg
130,10,agreement,1
131,10,payment_method,
132,10,payment_callback,redirect
133,10,redeem_status,0
134,10,actual_redeem_shop,
135,10,redeem_date_time,
136,11,title,小姐
137,11,birth,2000
138,11,contact_date,
139,11,contact_time,
140,11,data,
141,11,filepath,noimg
142,11,agreement,1
143,11,payment_method,
144,11,payment_callback,redirect
145,11,redeem_status,0
146,11,actual_redeem_shop,
147,11,redeem_date_time,
148,11,redeem_date_time,"2024-08-01 16:28:30"
149,11,actual_redeem_shop,"WOW FITNESS"
150,11,redeem_status,1
151,4,redeem_date_time,"2024-08-01 16:31:49"
152,4,actual_redeem_shop,"WOW FITNESS"
153,4,redeem_status,1
154,12,title,先生
155,12,birth,1995
156,12,contact_date,
157,12,contact_time,
158,12,data,
159,12,filepath,noimg
160,12,agreement,1
161,12,payment_method,
162,12,payment_callback,redirect
163,12,redeem_status,0
164,12,actual_redeem_shop,
165,12,redeem_date_time,
166,13,title,小姐
167,13,birth,1988
168,13,contact_date,
169,13,contact_time,
170,13,data,
171,13,filepath,noimg
172,13,agreement,1
173,13,payment_method,
174,13,payment_callback,redirect
175,13,redeem_status,0
176,13,actual_redeem_shop,
177,13,redeem_date_time,
178,7,redeem_date_time,"2024-08-01 17:05:33"
179,7,actual_redeem_shop,"WOW FITNESS"
180,7,redeem_status,1
181,3,redeem_date_time,"2024-08-01 17:06:00"
182,3,actual_redeem_shop,"WOW FITNESS"
183,3,redeem_status,1
184,13,redeem_date_time,"2024-08-01 17:06:34"
185,13,actual_redeem_shop,"WOW FITNESS"
186,13,redeem_status,1
187,14,title,太太
188,14,birth,1986
189,14,contact_date,
190,14,contact_time,
191,14,data,
192,14,filepath,noimg
193,14,agreement,1
194,14,payment_method,
195,14,payment_callback,redirect
196,14,redeem_status,0
